Adipocyte_ID,Area_Pixels,Area_Microns_Squared,Centroid_X,Centroid_Y,Grid_ID,MPP_Used,Closest_Tumour_ID,Distance_To_Closest_Tumour,Distance_Bin
73,3308.0,807.9248811199999,5133.795646916566,10180.863966142684,30,0.4942,,,
74,13221.0,3229.0129544399997,6063.236971484759,10296.420391800923,30,0.4942,,,
75,17654.0,4311.7006805599995,6344.0734677693445,10072.74991503342,30,0.4942,,,
76,7507.0,1833.4619354799997,6227.862261888904,10024.157053416811,30,0.4942,,,
77,11562.0,2823.8293456799997,5986.772357723577,10229.993945684138,30,0.4942,,,
78,3363.0,821.3577313199999,6625.671424323521,9987.294974724948,30,0.4942,,,
79,9148.0,2234.2493387199997,6490.708898119808,10052.01902055094,30,0.4942,,,
80,7357.0,1796.8268894799999,6104.508631235558,10007.492863939106,30,0.4942,,,
81,10912.0,2665.0774796799997,6106.466000733138,10105.480205278593,30,0.4942,,,
82,4879.0,1191.6159295599998,6130.695224431236,10188.016191842591,30,0.4942,,,
83,4100.0,1001.3579239999999,6217.058536585366,10229.202682926829,30,0.4942,,,
84,9410.0,2298.2385523999997,6228.607120085016,10153.47672688629,30,0.4942,,,
85,10574.0,2582.5265093599996,6001.304993379988,10058.382920370721,30,0.4942,,,
86,5010.0,1223.6105363999998,5942.0740518962075,10150.640518962076,30,0.4942,,,
87,8754.0,2138.02128456,5922.633538953622,10338.814370573453,30,0.4942,,,
88,15944.0,3894.0611561599994,3974.9433642749623,7955.979678876066,22,0.4942,,,
89,15052.0,3676.2047492799998,4068.957945787935,7351.52557799628,22,0.4942,,,
90,12743.0,3112.2692745199997,3530.108451698972,7953.333987287138,22,0.4942,,,
91,25669.0,6269.233305159999,4100.22607035724,7729.483345669874,22,0.4942,,,
92,16109.0,3934.3597067599994,4007.85902290645,7465.775653361475,22,0.4942,,,
93,9911.0,2420.59960604,3848.951972555746,7961.8513772575925,22,0.4942,,,
94,11208.0,2737.3706371199996,3725.744289793005,7970.230906495361,22,0.4942,,,
95,9560.0,2334.8735983999995,3621.1274058577405,7999.080230125523,22,0.4942,,,
96,9861.0,2408.3879240399997,4059.90579048778,7871.6661596187,22,0.4942,,,
97,14983.0,3659.3526281199997,3634.8303410531935,7858.793098845358,22,0.4942,,,
98,13259.0,3238.2938327599995,3881.7080473640544,7701.222113281545,22,0.4942,,,
99,18885.0,4612.3522914,4008.616891713,7606.45814138205,22,0.4942,,,
100,14909.0,3641.2793387599995,3730.029378227916,7392.823395264605,22,0.4942,,,
101,13112.0,3202.3914876799995,3804.466595485052,7597.557885906041,22,0.4942,,,
102,17054.0,4165.16049656,4113.101090653219,7989.016125249208,22,0.4942,,,
103,10658.0,2603.04213512,3904.165978607619,7548.688496903735,22,0.4942,,,
104,8603.0,2101.1420049199996,3574.1541322794374,7526.970359177031,22,0.4942,,,
105,21310.0,5204.6188684,3771.012294697325,7843.63932426091,22,0.4942,,,
106,11852.0,2894.6571012799996,3635.8083867701653,7451.190094498818,22,0.4942,,,
107,11589.0,2830.4236539599997,3424.408835965139,7689.627577875572,22,0.4942,,,
108,10563.0,2579.8399393199998,3498.1669980119286,7453.802044873615,22,0.4942,,,
109,8252.0,2015.4159972799998,3775.0631362094036,7706.2695104217155,22,0.4942,,,
110,14233.0,3476.1773981199995,3866.384528911684,7434.77805100822,22,0.4942,,,
111,15930.0,3890.6418851999997,3411.5230382925297,7934.419271814187,22,0.4942,,,
112,14288.0,3489.6102483199998,3826.3164193729003,7307.883958566629,22,0.4942,,,
113,4160.0,1016.0119423999998,3504.6625,7581.464423076923,22,0.4942,,,
114,11488.0,2805.7560563199995,3524.658774373259,7831.569202646239,22,0.4942,,,
115,12881.0,3145.97351684,3965.354630851642,7805.73728747768,22,0.4942,,,
116,12709.0,3103.9653307599997,3407.4351247147692,7378.38838618302,22,0.4942,,,
117,7619.0,1860.8161031599998,3880.2126263289147,7849.707704423153,22,0.4942,,,
118,7932.0,1937.2612324799998,3527.2157085224408,7726.575642965205,22,0.4942,,,
119,4733.0,1155.95781812,3697.6260300021127,7657.796112402282,22,0.4942,,,
120,17427.0,4256.2596442799995,4810.916164572215,7369.354449991392,23,0.4942,,,
121,3039.0,742.2260319599999,3616.9828891082593,7745.639684106614,22,0.4942,,,
122,10255.0,2504.6159781999995,4751.240760604584,7531.508142369576,23,0.4942,,,
123,10642.0,2599.1343968799997,3422.172242059763,7545.76526968615,22,0.4942,,,
124,15504.0,3786.5983545599997,4856.637835397317,7506.682920536636,23,0.4942,,,
125,9473.0,2313.6252717199995,3694.5331996199725,7560.845138815581,22,0.4942,,,
126,13421.0,3277.8596824399997,4930.710304746293,7613.50517845168,23,0.4942,,,
127,8906.0,2175.1447978399997,3423.1169997754323,7812.903772737481,22,0.4942,,,
128,15026.0,3669.8546746399998,4791.766138692932,7648.7942233462,23,0.4942,,,
129,12276.0,2998.2121646399996,3598.961795373086,7643.76889866406,22,0.4942,,,
130,6309.0,1540.8700347599997,3347.177999682993,7594.69266127754,22,0.4942,,,
131,20039.0,4894.197911959999,4685.22825490294,7407.607315734318,23,0.4942,,,
132,13450.0,3284.9424579999995,4364.488921933085,8007.795092936803,22,0.4942,,,
133,17541.0,4284.10227924,4974.166239096973,7731.478136936321,23,0.4942,,,
